Date,Mkt-RF,SMB,HML,RF
20210917,-0.72,1,-0.06,0
20210920,-1.87,-0.58,0.23,0
20210921,0.05,0.45,-0.67,0
20210922,1,0.17,0.53,0
20210923,1.28,0.36,0.92,0
20210924,0.08,-0.47,0.7,0
20210927,-0.1,1.25,2.43,0
20210928,-2.18,-0.44,1.76,0
20210929,0.03,-0.3,0.81,0
20210930,-1.02,0.32,-0.78,0
20211001,1.1,0.4,0.5,0
20211004,-1.43,-0.03,2.33,0
20211005,1.05,-0.52,-0.07,0
20211006,0.33,-0.87,-0.48,0
20211007,1.01,0.53,-0.17,0
20211008,-0.28,-0.6,1.12,0
20211011,-0.72,0.32,-0.28,0
20211012,-0.06,0.63,-0.44,0
20211013,0.43,0.14,-1.06,0
20211014,1.65,-0.34,-0.27,0
20211015,0.63,-1.2,0.3,0
20211018,0.41,-0.25,-0.01,0
20211019,0.71,-0.49,-0.22,0
20211020,0.34,-0.02,1.18,0
20211021,0.37,0.21,-0.95,0
20211022,-0.25,-0.24,1.01,0
20211025,0.58,0.49,-0.15,0
20211026,0.04,-0.7,-0.31,0
20211027,-0.76,-0.74,-1.18,0
20211028,1.14,0.87,-0.49,0
20211029,0.22,0.2,-0.83,0
20211101,0.51,2.02,0.44,0
20211102,0.24,-0.29,-0.54,0
20211103,0.8,1.45,-0.13,0
20211104,0.39,-0.02,-1.37,0
20211105,0.38,0.68,1.2,0
20211108,0.18,0.02,0.06,0
20211109,-0.35,-0.18,0.45,0
20211110,-1.07,-0.65,0.93,0
20211111,0.24,0.54,0.33,0
20211112,0.74,-0.32,-0.91,0
20211115,-0.02,-0.54,0.7,0
20211116,0.5,0.04,-0.71,0
20211117,-0.47,-0.55,-0.25,0
20211118,0.06,-0.57,-0.07,0
20211119,-0.2,-0.17,-1.28,0
20211122,-0.61,-0.55,2.76,0
20211123,-0.04,-0.52,1.74,0
20211124,0.3,0.03,-0.87,0
20211126,-2.22,-1.23,-0.92,0
20211129,1.11,-1.02,-0.78,0
20211130,-1.95,0.52,-1.13,0
20211201,-1.61,-0.8,1.11,0
20211202,1.51,0.72,1.26,0
20211203,-1.21,-1.13,1.07,0
20211206,1.19,0.76,0.62,0
20211207,2.22,0.2,-1.79,0
20211208,0.47,0.65,-0.83,0
20211209,-1.07,-1.37,1.57,0
20211210,0.7,-0.83,0.5,0
20211213,-1.04,-0.3,-0.99,0
20211214,-0.76,-0.67,1.64,0
20211215,1.62,0.38,-1.91,0
20211216,-1.2,-1.6,2.78,0
20211217,-0.65,1.89,-2.32,0
20211220,-1.27,-0.15,-0.41,0
20211221,2.06,0.81,0.19,0
20211222,0.97,0.26,-0.36,0
20211223,0.71,0.35,-0.48,0
20211227,1.22,-0.11,0.3,0
20211228,-0.27,-0.6,0.81,0
20211229,0.06,-0.07,0.17,0
20211230,-0.15,0.1,-0.4,0
20211231,-0.31,0.04,0.53,0
20220103,0.73,0.33,0.77,0
20220104,-0.29,-0.83,3.63,0
20220105,-2.28,-1.46,2.6,0
20220106,0,0.21,1.75,0
20220107,-0.48,-1.31,2.01,0
20220110,-0.15,-0.23,-0.28,0
20220111,1.1,-0.08,-0.3,0
